temperature,precipitation,time_of_day,percentage
73,63,21,6.6
65,55,20,4.0
52,81,15,11.2
23,10,12,6.6
8,94,15,24.9
39,56,18,3.0
68,94,17,8.8
53,81,22,11.2
21,85,15,19.2
48,80,14,10.0
34,86,16,10.5
50,37,17,0.0
10,27,11,10.5
41,6,13,4.2
28,33,12,5.1
50,1,11,0.0
57,43,17,0.0
64,65,21,7.0
67,21,22,5.0
36,57,12,4.1
37,0,13,5.4
71,97,20,12.4
22,36,11,6.9
29,56,16,6.0
58,10,17,0.0
62,60,21,6.0
71,90,12,8.0
50,13,14,4.0
28,71,22,14.3
36,80,15,13.7
51,76,20,8.2
27,6,14,9.4
70,78,21,9.6
31,40,21,8.2
6,14,19,11.7
21,99,15,22.0
37,77,14,11.8
13,93,19,18.2
47,61,20,5.2
52,57,22,6.4
43,46,22,5.6
46,35,18,0.0
30,77,20,12.9
54,3,22,5.0
29,72,19,9.2
28,96,15,19.299999999999997
17,57,19,9.8
64,59,13,4.8
11,71,14,18.4
61,78,18,5.6
40,28,14,5.5
49,64,14,6.8
24,26,20,9.3
69,77,21,9.4
12,71,21,18.1
20,6,11,7.5
18,87,14,19.5
80,79,12,5.8
19,64,11,10.6
70,75,22,10.0
36,40,16,2.7
67,73,21,8.6
55,41,16,0.0
29,34,14,8.8
62,33,14,4.0
67,8,16,0.0
66,48,13,3.0
26,21,14,9.7
62,36,13,3.0
62,59,11,1.8
53,11,13,3.0
56,35,11,0.0
46,41,12,0.0
74,95,19,9.0
19,80,21,17.8
58,1,14,4.0
64,30,18,0.0
12,19,21,13.9
57,37,11,0.0
64,4,17,0.0
9,71,19,15.0
72,15,20,3.0
10,59,15,17.3
51,95,11,9.0
59,2,19,0.0
44,72,18,4.7
56,99,13,12.8
20,32,20,10.5
17,69,20,15.2
34,95,22,17.3
23,17,11,6.6
21,3,11,7.2
67,43,16,0.0
23,91,13,17.799999999999997
62,34,11,0.0
59,97,15,14.4
66,33,20,3.0
27,36,13,8.4
13,96,11,18.799999999999997
16,15,19,8.7
5,59,16,13.8
62,80,13,9.0
5,22,12,12.0
38,10,15,7.1
52,33,14,4.0
5,57,11,13.4
20,88,14,19.1
65,47,21,4.0
68,82,16,6.4
67,71,16,4.2
73,67,11,3.4
26,5,19,5.7
71,87,13,10.4
80,83,22,11.6
30,2,15,9.5
20,57,22,13.9
55,22,18,0.0
61,56,20,4.2
33,82,22,15.0
82,0,16,0.0
73,2,17,0.0
51,22,12,0.0
66,0,18,0.0
73,4,21,4.0
80,27,19,0.0
20,68,20,14.1
52,82,12,6.4
43,43,12,0.6
37,12,18,2.4
27,93,11,14.0
14,71,18,13.5
73,80,15,11.0
38,24,20,5.1
56,75,21,9.0
14,28,15,14.3
23,0,13,9.6
62,65,11,3.0
5,33,13,15.0
73,58,17,1.6
8,96,14,24.299999999999997
20,64,14,14.3
28,73,16,9.7
84,81,11,6.2
6,21,16,11.7
36,52,19,3.1
28,30,15,10.1
16,65,14,15.7
54,86,22,12.2
39,2,22,6.8
37,45,12,2.4
37,43,22,7.4
65,87,18,7.4
55,88,21,11.6
47,40,11,0.0
16,12,15,13.7
71,9,16,0.0
69,61,14,6.2
37,5,16,2.4
44,68,11,3.9
78,49,20,3.0
47,38,14,4.0
48,79,19,5.8
33,42,15,8.6
17,84,22,20.2
16,41,21,12.7
50,39,22,5.0
6,4,11,11.7
39,96,20,14.0
12,66,22,18.1
30,60,17,6.5
78,14,18,0.0
38,9,18,2.1
11,0,16,10.2
72,62,13,5.4
62,73,20,7.6
79,15,21,4.0
33,94,17,12.4
40,27,20,4.5
25,36,17,6.0
40,90,14,13.5
14,53,11,9.9
77,10,12,0.0
28,84,12,11.899999999999999
68,36,18,0.0
53,37,17,0.0
40,33,18,1.5
28,21,22,10.1
27,73,16,10.0
66,54,14,4.8
41,3,21,5.2
16,43,19,8.7
59,4,17,0.0
17,86,17,15.600000000000001
27,79,19,11.2
34,55,14,8.3
21,18,19,7.2
66,14,13,3.0
17,50,22,13.4
63,24,15,5.0
23,75,17,11.6
53,96,18,9.2
16,71,16,12.899999999999999
65,52,11,0.4
23,66,20,12.8
80,43,18,0.0
13,37,12,9.6
75,60,21,6.0
32,68,11,7.5
82,45,12,0.0
56,59,20,4.8
20,31,14,11.5
73,22,11,0.0
16,18,19,8.7
29,26,20,7.8
56,84,12,6.8
57,33,14,4.0
27,65,12,8.4
20,52,18,7.9
61,8,13,3.0
43,30,14,4.6
57,55,22,6.0
46,95,12,9.0
62,73,18,4.6
43,35,12,0.6
18,24,20,11.1
9,0,20,13.8
39,85,21,12.8
79,4,14,4.0
22,50,21,10.9
80,32,11,0.0
13,52,11,10.0
78,80,21,10.0
62,85,17,7.0
21,82,20,16.6
11,60,11,12.2
50,34,12,0.0
17,34,13,11.4
44,82,12,6.7
46,26,13,3.0
13,10,16,9.6
54,27,14,4.0
31,9,18,4.2
70,34,11,0.0
9,17,12,10.8
33,4,17,3.6
41,5,14,5.2
42,85,17,7.9
12,29,19,9.9
69,81,18,6.2
21,64,18,10.0
75,67,21,7.4
49,61,21,6.2
8,47,21,15.1
40,23,19,1.5
74,80,22,11.0
35,42,21,7.0
23,84,14,17.4
65,71,21,8.2
58,17,22,5.0
43,32,18,0.6
78,93,13,11.6
23,8,11,6.6
43,51,12,0.8
71,10,13,3.0
49,67,19,3.4
17,1,18,8.4
62,26,22,5.0
24,17,13,9.3
76,33,12,0.0
65,53,17,0.6
43,10,15,5.6
5,65,17,15.0
7,30,12,11.4
81,43,15,5.0
66,55,20,4.0
67,88,22,12.6
29,18,15,9.8
60,31,21,4.0
37,35,16,2.4
42,70,16,4.9
10,13,14,14.5
62,44,14,4.0
48,0,18,0.0
49,51,16,0.2
36,32,19,2.7
49,33,22,5.0
65,15,21,4.0
51,94,17,8.8
25,1,12,6.0
84,61,20,5.2
79,75,19,5.0
40,18,18,1.5
23,14,12,6.6
24,79,19,12.1
61,15,19,0.0
22,27,22,11.9
51,74,22,9.8
53,5,22,5.0
18,26,19,8.1
19,80,20,16.8
35,38,18,3.0
5,10,12,12.0
58,12,22,5.0
7,76,18,16.6
20,71,20,14.7
61,24,18,0.0
79,40,12,0.0
16,36,21,12.7
78,13,14,4.0
20,20,12,7.5
76,42,11,0.0
80,43,11,0.0
28,83,14,15.7
32,83,13,13.5
12,41,12,9.9
40,26,16,1.5
12,32,21,13.9
62,30,16,0.0
64,15,19,0.0
54,6,21,4.0
32,15,21,7.9
45,45,11,0.0
68,3,20,3.0
31,2,14,8.2
67,93,17,8.6
21,18,15,12.2
77,90,14,12.0
37,28,13,5.4
81,80,20,9.0
33,64,13,9.4
17,20,15,13.4
50,96,16,9.2
39,54,16,2.6
10,88,16,18.1
73,10,15,5.0
51,98,20,12.6
29,35,11,4.8
70,38,18,0.0
14,49,15,14.3
60,27,13,3.0
34,19,18,3.3
9,38,20,13.8
37,24,18,2.4
69,45,15,5.0
22,71,20,14.100000000000001
53,31,21,4.0
15,62,22,16.4
30,83,12,11.1
67,43,15,5.0
63,40,22,5.0
31,83,13,13.8
53,8,22,5.0
81,76,20,8.2
37,37,21,6.4
5,85,16,19.0
25,93,16,14.6
59,36,19,0.0
10,41,14,14.5
73,22,13,3.0
9,74,18,15.600000000000001
7,77,20,19.8
57,15,12,0.0
27,38,19,5.4
57,91,15,13.2
41,53,14,5.8
78,26,12,0.0
78,45,21,4.0
21,73,22,16.8
82,45,20,3.0
77,19,11,0.0
5,90,22,25.0
55,85,18,7.0
49,44,12,0.0
81,31,21,4.0
8,31,14,15.1
66,48,15,5.0
69,46,14,4.0
36,39,22,7.7
38,4,17,2.1
76,61,18,2.2
43,8,14,4.6
30,70,20,11.5
38,17,12,2.1
58,45,12,0.0
7,0,12,11.4
54,5,22,5.0
16,77,13,17.1
69,87,22,12.4
58,80,20,9.0
9,80,12,16.8
61,20,14,4.0
21,34,12,7.2
51,57,22,6.4
27,48,18,5.4
83,97,16,9.4
18,76,17,13.3
70,13,11,0.0
79,67,18,3.4
55,87,19,7.4
42,5,13,3.9
68,19,13,3.0
42,95,13,12.9
54,22,16,0.0
34,13,19,3.3
83,85,15,12.0
55,80,22,11.0
67,50,21,4.0
56,1,17,0.0
42,48,14,4.9
83,6,20,3.0
34,98,12,12.899999999999999
55,99,16,9.8
9,49,13,13.8
33,13,19,3.6
8,19,22,16.1
14,91,20,20.5
60,12,12,0.0
21,56,14,12.4
78,48,14,4.0
21,70,13,14.2
73,66,13,6.2
38,4,12,2.1
10,52,14,14.9
57,51,12,0.2
70,96,13,12.2
81,45,22,5.0
47,58,13,4.6
79,8,21,4.0
27,52,19,5.800000000000001
59,90,22,13.0
84,14,22,5.0
79,97,15,14.4
20,81,20,16.7
12,3,22,14.9
8,33,18,11.1
8,61,17,13.3
60,84,22,11.8
29,81,21,15.0
71,51,12,0.2
71,35,14,4.0
31,98,16,13.8
36,57,18,4.1
54,70,13,7.0
65,97,17,9.4
55,45,18,0.0
23,36,13,9.6
25,65,12,9.0
9,40,13,13.8
46,79,18,5.8
65,27,14,4.0
26,53,12,6.3
25,29,14,10.0
74,30,13,3.0
5,7,13,15.0
9,98,22,25.4
16,70,13,15.7
50,81,17,6.2
38,47,15,7.1
53,99,22,14.8
82,57,15,6.4
49,84,21,10.8
31,3,20,7.2
77,95,21,13.0
30,79,11,10.3
51,17,13,3.0
60,97,15,14.4
67,21,19,0.0
52,26,18,0.0
65,75,12,5.0
30,31,11,4.5
40,70,13,8.5
5,39,13,15.0
12,60,15,16.9
56,73,22,9.6
83,35,20,3.0
51,9,15,5.0
60,70,18,4.0
18,2,16,8.1
32,75,13,11.9
82,95,19,9.0
6,62,22,19.1
30,93,22,18.1
18,9,22,13.1
63,20,13,3.0
60,37,15,5.0
11,19,13,13.2
7,14,14,15.4
27,20,16,5.4
22,94,11,15.700000000000001
42,18,13,3.9
19,7,20,10.8
68,41,20,3.0
32,21,17,3.9
78,75,20,8.0
43,16,13,3.6
61,11,20,3.0
21,94,13,19.0
48,62,13,5.4
29,71,16,9.0
21,58,20,11.8
17,47,11,8.4
29,81,13,14.0
72,26,22,5.0
14,63,22,16.9
71,62,15,7.4
22,42,17,6.9
38,69,18,5.9
12,27,16,9.9
44,28,21,4.3
46,17,20,3.0
45,45,18,0.0
10,86,15,22.7
56,56,11,1.2
30,99,19,14.3
68,9,19,0.0
63,51,13,3.2
60,26,13,3.0
63,17,19,0.0
74,40,16,0.0
37,52,19,2.8
57,12,22,5.0
26,22,19,5.7
25,50,17,6.0
74,39,19,0.0
74,86,14,11.2
8,39,13,14.1
79,49,12,0.0
66,28,13,3.0
66,73,19,4.6
28,93,13,16.7
59,21,15,5.0
13,57,13,14.0
7,94,17,20.200000000000003
35,41,18,3.0
44,22,12,0.3
40,67,15,9.9
28,1,11,5.1
10,77,19,15.9
70,39,12,0.0
79,25,12,0.0
8,21,20,14.1
83,45,16,0.0
10,81,18,16.7
55,71,16,4.2
66,99,12,9.8
61,74,15,9.8
70,59,21,5.8
83,79,19,5.8
79,14,12,0.0
12,46,17,9.9
30,82,15,15.9
55,59,20,4.8
49,71,16,4.2
48,16,13,3.0
9,17,18,10.8
74,65,14,7.0
30,36,18,4.5
72,23,17,0.0
23,80,22,17.6
24,14,12,6.3
16,50,12,8.7
51,23,15,5.0
5,22,11,12.0
18,90,16,16.1
68,85,16,7.0
42,46,22,5.9
41,61,14,7.4
15,76,17,14.2
81,62,14,6.4
7,11,11,11.4
37,98,14,16.0
10,91,11,18.7
54,9,22,5.0
14,73,14,17.9
9,54,16,11.600000000000001
27,44,15,10.4
14,87,21,20.700000000000003
48,91,17,8.2
6,36,15,16.7
17,8,22,13.4
44,99,14,14.100000000000001
6,98,13,24.299999999999997
69,55,13,4.0
67,48,17,0.0
77,65,12,3.0
21,57,15,13.6
13,52,19,10.0
79,22,11,0.0
19,11,20,10.8
28,84,16,11.899999999999999
42,28,11,0.9
39,99,17,11.600000000000001
53,26,12,0.0
73,69,21,7.8
66,19,22,5.0
64,53,21,4.6
54,47,11,0.0
82,55,15,6.0
79,21,17,0.0
13,22,16,9.6
38,33,11,2.1
80,3,19,0.0
39,95,19,10.8
5,15,12,12.0
44,67,16,3.6999999999999997
68,27,11,0.0
26,91,11,13.899999999999999
64,21,15,5.0
68,7,13,3.0
76,89,20,10.8
15,93,21,21.6
18,52,21,12.5
64,8,19,0.0
34,89,15,16.1
39,41,16,1.8
41,53,14,5.8
9,74,21,19.6
82,24,19,0.0
30,97,17,13.9
66,90,21,12.0
8,9,16,11.1
46,78,21,9.6
22,68,11,10.5
44,11,18,0.3
76,7,18,0.0
43,69,13,7.3999999999999995
18,87,21,19.5
36,0,13,5.7
55,24,19,0.0
42,44,14,4.9
27,46,16,5.4
67,10,22,5.0
19,61,20,13.0
29,86,20,15.0
21,35,17,7.2
70,39,14,4.0
82,70,15,9.0
57,90,21,12.0
55,84,22,11.8
43,4,13,3.6
55,96,16,9.2
74,56,15,6.2
10,15,14,14.5
71,10,15,5.0
11,53,15,15.799999999999999
55,31,14,4.0
76,49,13,3.0
46,87,12,7.4
68,72,18,4.4
19,61,13,13.0
33,99,11,13.4
37,6,12,2.4
31,91,16,12.399999999999999
40,59,12,3.3
33,86,18,10.8
42,38,12,0.9
61,76,17,5.2
31,50,19,4.2
59,6,11,0.0
37,84,11,9.2
72,38,16,0.0
70,76,12,5.2
14,35,14,13.3
9,11,14,14.8
78,71,21,8.2
42,99,11,10.700000000000001
17,52,11,8.8
35,60,12,5.0
51,22,18,0.0
56,97,18,9.4
60,22,14,4.0
19,28,21,11.8
33,49,16,3.6
12,23,18,9.9
9,21,14,14.8
33,11,17,3.6
51,79,18,5.8
72,64,11,2.8
80,29,17,0.0
49,35,13,3.0
6,41,15,16.7
31,23,20,7.2
40,38,21,5.5
40,37,15,6.5
30,31,11,4.5
47,57,18,1.4
31,53,16,4.8
73,31,18,0.0
24,75,11,11.3
15,9,13,12.0
78,56,13,4.2
42,75,13,8.9
10,76,21,19.7
76,78,19,5.6
27,29,14,9.4
51,52,21,4.4
50,76,16,5.2
16,47,12,8.7
17,42,21,12.4
66,0,18,0.0
64,81,15,11.2
47,38,18,0.0
80,11,17,0.0
72,49,13,3.0
9,8,20,13.8
41,48,14,5.2
76,3,13,3.0
35,90,15,16.0
13,91,17,17.799999999999997
55,23,20,3.0
33,67,12,7.0
82,59,18,1.8
44,27,14,4.3
45,51,11,0.2
15,19,12,9.0
27,62,19,7.800000000000001
5,92,19,20.4
50,96,16,9.2
25,29,21,10.0
40,66,14,8.7
58,18,13,3.0
61,20,19,0.0
5,39,19,12.0
67,20,11,0.0
58,83,18,6.6
59,54,13,3.8
44,32,20,3.3
19,37,22,12.8
25,8,18,6.0
51,49,19,0.0
77,94,14,12.8
57,31,11,0.0
13,40,17,9.6
78,22,17,0.0
56,86,13,10.2
61,41,20,3.0
30,15,13,7.5
45,20,11,0.0
39,62,18,4.2
67,75,22,10.0
29,69,21,12.6
79,13,16,0.0
42,85,15,12.9
6,94,17,20.5
11,46,16,10.2
38,41,11,2.1
21,27,17,7.2
47,68,19,3.6
63,25,18,0.0
55,51,18,0.2
58,90,19,8.0
28,92,21,17.5
29,79,19,10.6
75,55,18,1.0
56,89,14,11.8
74,7,14,4.0
37,74,20,10.2
53,2,18,0.0
33,65,19,6.6
67,0,20,3.0
26,0,14,9.7
30,83,18,11.1
32,41,21,7.9
53,94,16,8.8
75,49,16,0.0
53,79,13,8.8
24,50,20,9.3
67,47,11,0.0
65,66,21,7.2
53,38,15,5.0
75,69,19,3.8
5,36,12,12.0
17,35,11,8.4
55,75,14,9.0
60,73,15,9.6
66,34,21,4.0
36,65,13,8.7
34,30,20,6.3
33,39,20,6.6
53,78,18,5.6
49,32,18,0.0
34,65,19,6.3
20,26,18,7.5
44,49,15,5.3
23,87,20,17.0
22,90,16,14.9
5,94,12,20.8
82,70,14,8.0
51,25,16,0.0
70,21,19,0.0
42,65,13,6.9
55,15,21,4.0
67,24,11,0.0
8,15,22,16.1
5,86,22,24.2
12,35,20,12.9
33,13,12,3.6
59,39,16,0.0
7,8,15,16.4
36,39,22,7.7
14,94,16,18.1
78,70,16,4.0
38,44,11,2.1
59,0,22,5.0
36,84,12,9.5
54,28,15,5.0
11,7,22,15.2
12,72,22,19.3
69,57,16,1.4
61,18,19,0.0
71,46,12,0.0
63,98,19,9.6
76,26,14,4.0
58,84,13,9.8
71,86,14,11.2
55,77,16,5.4
12,75,22,19.9
38,53,16,2.7
39,68,16,5.4
82,97,12,9.4
36,56,16,3.9000000000000004
50,54,14,4.8
20,70,13,14.5
72,4,15,5.0
41,98,11,10.799999999999999
58,88,15,12.6
18,93,17,16.7
59,41,18,0.0
52,74,22,9.8
11,71,22,19.4
78,27,14,4.0
11,11,21,14.2
37,44,15,7.4
27,33,21,9.4
23,94,11,15.4
23,84,18,13.399999999999999
40,79,17,7.3
33,87,12,11.0
64,85,21,11.0
6,57,13,16.1
5,12,11,12.0
51,8,20,3.0
73,71,16,4.2
24,86,13,16.5
15,48,13,12.0
6,9,15,16.7
71,80,14,10.0
16,28,16,8.7
24,48,15,11.3
9,50,15,15.8
41,50,12,1.2
42,65,12,3.9
13,10,12,9.6
57,71,14,8.2
48,20,12,0.0
28,96,13,17.299999999999997
78,49,22,5.0
34,70,17,7.3
63,88,17,7.6
18,8,13,11.1
13,42,21,13.6
44,37,16,0.3
70,90,17,8.0
29,43,12,4.8
77,52,19,0.4
26,59,14,11.5
8,73,16,15.7
30,25,12,4.5
62,90,21,12.0
33,55,13,7.6
41,85,13,11.2
79,55,13,4.0
74,45,14,4.0
22,19,11,6.9
46,89,16,7.8
45,36,12,0.0
42,35,22,5.9
38,92,15,15.5
21,76,16,12.4
41,70,14,9.2
29,74,22,14.6
80,42,15,5.0
31,52,14,8.600000000000001
61,55,13,4.0
35,43,16,3.0
10,66,14,17.7
44,34,22,5.3
16,0,20,11.7
57,41,17,0.0
75,64,17,2.8
14,96,22,23.5
49,25,12,0.0
21,66,11,10.4
30,87,11,11.9
66,98,13,12.6
50,60,13,5.0
68,44,15,5.0
6,79,16,17.5
58,98,13,12.6
69,77,22,10.4
55,32,20,3.0
57,57,22,6.4
40,8,14,5.5
30,18,15,9.5
33,29,13,6.6
25,73,16,10.6
15,62,14,15.4
44,52,15,5.7
15,10,22,14.0
40,25,18,1.5
63,25,19,0.0
43,13,11,0.6
58,15,15,5.0
59,38,16,0.0
28,29,21,9.1
26,72,16,10.100000000000001
73,12,20,3.0
60,64,12,2.8
37,1,12,2.4
40,22,22,6.5
24,33,18,6.3
66,64,19,2.8
77,41,12,0.0
30,41,17,4.5
70,68,18,3.6
77,38,17,0.0
77,95,20,12.0
44,73,20,7.8999999999999995
21,21,20,10.2
5,87,16,19.4
65,34,19,0.0
47,94,19,8.8
46,43,21,4.0
29,47,22,9.8
43,49,13,3.6
39,84,12,8.6
7,58,12,13.0
48,73,11,4.6
55,90,15,13.0
16,32,11,8.7
23,15,22,11.6
48,4,11,0.0
63,87,22,12.4
53,43,13,3.0
65,90,14,12.0
21,13,16,7.2
78,73,17,4.6
61,79,12,5.8
59,92,11,8.4
51,78,18,5.6
16,85,13,18.7
66,56,16,1.2
84,69,18,3.8
12,46,11,9.9
25,90,13,17.0
84,92,12,8.4
74,91,16,8.2
76,18,17,0.0
29,96,18,14.0
16,61,14,14.899999999999999
19,9,14,11.8
63,55,19,1.0
30,10,14,8.5
30,93,16,13.1
51,77,19,5.4
36,79,16,8.5
14,6,20,12.3
20,52,12,7.9
75,67,20,6.4
21,15,12,7.2
27,59,18,7.2
30,50,18,4.5
11,98,17,19.799999999999997
18,8,13,11.1
83,48,16,0.0
11,35,11,10.2
13,8,13,12.6
52,31,21,4.0
76,56,20,4.2
63,89,20,10.8
43,56,12,1.7999999999999998
22,43,19,6.9
63,18,20,3.0
21,42,22,12.2
18,67,16,11.5
35,63,13,8.6
28,94,16,13.9
64,12,12,0.0
49,9,19,0.0
7,47,12,11.4
41,19,18,1.2
47,5,13,3.0
44,43,19,0.3
59,47,15,5.0
43,71,11,4.8
19,98,19,17.4
8,63,18,13.7
29,78,12,10.399999999999999
17,28,14,12.4
37,71,12,6.6
20,8,17,7.5
46,92,12,8.4
70,22,16,0.0
59,54,17,0.8
46,75,15,10.0
38,27,17,2.1
34,46,18,3.3
17,14,14,12.4
17,98,15,23.0
22,92,19,15.3
36,57,21,8.1
43,17,12,0.6
50,39,13,3.0
33,17,14,7.6
66,73,12,4.6
66,6,15,5.0
61,1,14,4.0
20,81,17,13.7
60,50,20,3.0
14,34,15,14.3
34,9,12,3.3
29,19,21,8.8
9,56,22,17.0
69,73,12,4.6
53,12,11,0.0
7,23,18,11.4
49,41,15,5.0
18,62,17,10.5
34,45,17,3.3
72,60,11,2.0
22,74,22,16.7
66,62,13,5.4
41,19,16,1.2
29,15,22,9.8
52,34,15,5.0
69,76,22,10.2
57,8,21,4.0
83,94,16,8.8
77,35,14,4.0
19,13,18,7.8
53,42,22,5.0
72,75,15,10.0
16,22,20,11.7
63,48,16,0.0
41,95,13,13.2
65,0,14,4.0
47,79,22,10.8
74,49,11,0.0
43,57,21,6.0
60,74,19,4.8
67,28,17,0.0
50,1,19,0.0
15,15,16,9.0
66,79,11,5.8
81,26,12,0.0
29,35,19,4.8
75,96,14,13.2
56,25,19,0.0
8,74,20,18.9
63,6,21,4.0
76,37,15,5.0
24,37,20,9.3
67,24,17,0.0
58,51,14,4.2
78,55,22,6.0
61,49,19,0.0
45,71,19,4.2
7,57,11,12.8
10,91,17,18.7
9,5,19,10.8
9,28,16,10.8
58,66,17,3.2
51,35,15,5.0
53,5,11,0.0
13,0,16,9.6
24,78,21,15.899999999999999
65,28,15,5.0
39,78,18,7.3999999999999995
54,11,21,4.0
66,55,15,6.0
21,5,11,7.2
7,58,11,13.0
36,51,12,2.9000000000000004
17,36,17,8.4
77,70,20,7.0
72,41,13,3.0
18,38,20,11.1
15,38,19,9.0
60,54,21,4.8
71,45,11,0.0
33,67,22,12.0
13,52,22,15.0
